Year,Rank,Player,Country,Position,Age,PTS,REB,AST,PER,League,NBA EWA,Team
2011,1,Kyrie Irving,USA,PG,19,17.5,3.4,4.3,32.8,NCAA,13.74,Cavaliers
2011,2,Derrick Williams,USA,PF,20,15.7,7.1,0.7,26.4,NCAA,1.27,Timberwolves
2011,3,Enes Kanter,Turkey,C,19,2.0,1.5,0.0,7.6,EuroLeague,6.38,Jazz
2011,4,Tristan Thompson,Canada,PF,20,12.8,7.9,1.2,23.7,NCAA,5.28,Cavaliers
2011,5,Jonas Valanciunas,Lithuania,C,19,13.4,9.9,0.8,23.4,Lithuania 2,7.61,Raptors
2011,6,Jan Vesely,Czech Republic,PF,21,4.9,2.2,0.3,20.7,Slovenia,0.04,Wizards
2011,7,Bismack Biyombo,Congo,PF/C,19,5.6,4.9,0.1,11.4,LEB Silver,1.61,Hornets
2011,8,Brandon Knight,USA,PG,19,17.2,4.0,4.2,19.2,NCAA,1.97,Pistons
2011,9,Kemba Walker,USA,PG,21,8.9,3.5,2.9,17.0,NCAA,10.77,Hornets
2011,10,Jimmer Fredette,USA,PG,22,7.0,1.1,1.7,14.0,NCAA,0.33,Kings
2011,11,Klay Thompson,USA,SG/SF,21,12.5,4.2,1.9,16.5,NCAA,7.99,Warriors
2011,12,Alec Burks,USA,SG,20,17.4,5.0,1.8,26.7,NCAA,1.28,Jazz
2011,13,Markieff Morris,USA,PF,22,4.6,4.4,1.0,14.1,NCAA,2.39,Suns
2011,14,Marcus Morris,USA,PF,22,7.4,4.7,1.1,18.6,NCAA,1.87,Rockets
2011,15,Kawhi Leonard,USA,SF,20,12.8,10.1,1.8,23.8,NCAA,11.54,Spurs
2011,16,Nikola Vucevic,Montenegro,PF/C,20,2.6,2.7,0.3,15.3,NCAA,9.29,76ers
2011,17,Iman Shumpert,USA,PG/SG,21,10.6,3.9,5.0,13.6,NCAA,0.52,Knicks
2011,18,Chris Singleton,USA,SF,21,8.1,4.9,1.1,15.1,NCAA,1.14,Wizards
2011,19,Tobias Harris,USA,SF/PF,19,15.6,7.3,1.3,24.2,NCAA,4.01,Bucks
2011,20,Donatas Motiejunas,Lithuania,PF/C,21,1.3,2.7,0.0,2.1,EuroLeague,0.77,Rockets
2011,21,Nolan Smith,USA,PG/SG,23,5.9,1.5,1.3,14.2,NCAA,0.68,Trailblazers
2011,22,Kenneth Faried,USA,PF,21,10.5,8.0,0.3,28.1,NCAA,5.68,Nuggets
2011,23,Nikola Mirotic,Spain,PF,20,0.8,0.0,0.0,6.9,ACB,3.41,Bulls
2011,24,Reggie Jackson,USA,PG,21,7.0,3.3,1.7,17.1,NCAA,3.85,Thunder
2011,25,Marshon Brooks,USA,SG,22,3.3,0.9,0.4,12.0,NCAA,0.67,Nets
2011,26,Jordan Hamilton,USA,SF,21,10.0,3.7,1.5,19.7,NCAA,0.45,Nuggets
2011,27,JaJuan Johnson,USA,PF/C,22,5.4,3.1,0.3,15.7,NCAA,0.08,Celtics
2011,28,Norris Cole,USA,PG,23,4.9,1.4,0.8,11.2,NCAA,1.05,Heat
2011,29,Cory Joseph,Canada,PG/SG,20,10.4,3.6,3.1,15.3,NCAA,1.27,Spurs
2011,30,Jimmy Butler,USA,SF,22,5.6,3.9,0.7,18.2,NCAA,9.36,Bulls
2011,31,Bojan Bogdanovic,Croatia,SG/SF,22,6.1,2.7,0.6,9.9,LEB Silver,2.33,Heat
2011,32,Justin Harper,USA,PF,22,3.3,1.3,0.1,14.6,NCAA,0.17,Magic
2011,33,Kyle Singler,USA,SF/PF,23,13.3,5.8,1.4,19.1,NCAA,0.76,Pistons
2011,34,Shelvin Mack,USA,PG,21,11.9,4.4,3.5,18.6,NCAA,0.54,Wizards
2011,35,Tyler Honeycutt,USA,PF,21,7.2,6.5,2.7,18.0,NCAA,0.08,Kings
2011,36,Jordan Williams,USA,C,21,9.3,8.3,0.2,20.1,NCAA,1.17,Nets
2011,37,Trey Thompkins,USA,PF,21,12.6,7.4,0.8,20.1,NCAA,0.07,Clippers
2011,38,Chandler Parsons,USA,SF,22,8.1,4.0,1.4,18.6,NCAA,3.19,Rockets
2011,39,Jeremy Tyler,USA,C,20,2.1,1.9,0.1,5.8,Israel,0.04,Warriors
2011,40,Jon Leuer,USA,PF,22,2.9,1.3,0.4,14.5,NCAA,1.20,Bucks
