Player,From,To,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,Year
Kawhi Leonard,2012,2014,SAS,NBA,19.4,188,161,5267,17.6,0.295,0.216,5.5,17.6,11.8,8.4,2.9,1.5,9.7,16.5,116,99,9.8,9.6,0.177,1.9,2.8,4.7,8.9,2011
Kenneth Faried,2012,2014,DEN,NBA,18.9,206,196,5463,19.7,0.002,0.408,13.3,22.7,18,6.1,1.7,2.8,12.3,19.3,116,104,11.7,7.2,0.166,0.9,1.2,2,5.6,2011
Jonas Valanciunas,2013,2015,TOR,NBA,18.9,223,218,5860,17.6,0.001,0.426,11.1,24.3,17.7,4,0.7,3.3,14.4,18.3,116,105,11.8,7.1,0.155,-0.9,0.1,-0.8,1.7,2011
Chandler Parsons,2012,2014,HOU,NBA,18,213,207,7345,15,0.373,0.183,3.8,13.2,8.6,15.3,1.6,0.9,12.2,18.3,112,107,11.5,6.4,0.117,1.8,0.6,2.4,8.2,2011
Isaiah Thomas,2012,2014,SAC,NBA,17.1,216,153,6275,18.7,0.362,0.352,2.2,7.7,4.8,27.9,1.7,0.2,13.7,23.5,115,113,15.8,1.2,0.13,4,-2.8,1.2,5.1,2011
Kyrie Irving,2012,2014,CLE,NBA,16,181,181,6102,20.9,0.264,0.27,2.3,10.4,6.2,33.2,2.1,0.8,13.7,29,109,109,12.2,3.9,0.126,4.6,-1.3,3.3,8.1,2011
Jimmy Butler,2012,2014,CHI,NBA,15.2,191,87,5084,14.2,0.277,0.488,5.5,10.4,8,9.7,2.3,1.1,10.2,15.7,113,102,7.4,7.8,0.143,0.3,1.7,2,5.1,2011
Nikola Mirotic,2015,2017,CHI,NBA,13.4,218,56,4979,16,0.558,0.319,4,20.6,12.4,8.7,1.7,2.3,11.3,21.2,108,103,6,7.4,0.129,0.8,0.2,0.9,3.6,2011
Klay Thompson,2012,2014,GSW,NBA,12.7,229,192,7412,13.8,0.418,0.136,1.4,9.1,5.3,11,1.4,1.1,10.5,22.8,104,108,6.6,6.1,0.082,0.9,-1.1,-0.2,3.4,2011
Tristan Thompson,2012,2014,CLE,NBA,12.1,224,189,6582,15,0.003,0.411,12.7,20.7,16.6,5.2,1,2,11.7,18.2,107,108,6.9,5.2,0.088,-1.6,-0.4,-1.9,0.2,2011
