Player,BODY FAT,HEIGHT_NO_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,Year
Keith Benson,6.10%,82.0,9' 1.5'',217.0,87.75,2011
Marshon Brooks,5.20%,76.25,8' 5'',194.6,85.0,2011
Alec Burks,5.10%,77.0,8' 7.5'',192.6,82.0,2011
Jimmy Butler,5.40%,78.0,8' 5.5'',222.2,79.5,2011
Norris Cole,4.70%,72.25,7' 11.5'',174.4,74.25,2011
Jon Diebler,8.50%,77.25,8' 3'',196.6,78.0,2011
Michael Dunigan,8.00%,80.5,8' 11.5'',237.6,87.25,2011
LaceDarius Dunn,5.50%,75.0,8' 5'',187.8,78.25,2011
Kenneth Faried,6.30%,78.0,9' 0'',224.6,84.0,2011
James Fredette,7.70%,72.75,8' 0.5'',196.0,76.5,2011
Andrew Goudelock,9.90%,73.25,8' 0.5'',197.6,76.25,2011
Jordan Hamilton,9.80%,78.75,8' 8'',228.4,81.5,2011
Justin Harper,4.00%,80.0,8' 10'',228.0,83.75,2011
Tobias Harris,8.40%,78.5,8' 7.5'',222.8,83.0,2011
Tyler Honeycutt,5.30%,78.75,8' 9'',186.8,81.0,2011
Scotty Hopson,4.80%,77.75,8' 7.5'',204.6,82.5,2011
Kyrie Irving,10.20%,73.75,8' 3'',191.0,76.0,2011
Rick Jackson,8.30%,80.25,8' 10.5'',241.8,86.0,2011
Charles Jenkins,4.30%,73.5,8' 0.5'',216.4,79.5,2011
JaJuan Johnson,7.50%,81.0,8' 11.5'',219.8,86.0,2011
Cory Joseph,9.70%,74.0,8' 3'',186.2,77.5,2011
Enes Kanter,5.90%,81.75,9' 1.5'',259.2,85.5,2011
Brandon Knight,4.20%,73.5,8' 2.5'',176.8,78.75,2011
Malcolm Lee,5.90%,76.0,8' 5.5'',198.2,81.75,2011
Kawhi Leonard,5.40%,78.0,8' 10'',227.4,87.0,2011
Travis Leslie,8.10%,75.0,8' 7'',205.0,82.5,2011
Jon Leuer,5.40%,82.0,8' 9.5'',223.2,84.0,2011
DeAndre Liggins,5.00%,77.0,8' 7.5'',202.2,83.0,2011
David Lighty,6.50%,76.75,8' 5'',216.2,80.0,2011
Shelvin Mack,7.10%,73.0,8' 0.5'',209.0,79.5,2011
Demetri McCamey,6.10%,73.75,8' 3.5'',204.0,78.25,2011
E'Twaun Moore,7.60%,74.5,8' 3.5'',191.4,81.5,2011
Markieff Morris,10.20%,79.75,8' 10.5'',240.8,82.75,2011
Marcus Morris,8.00%,79.0,8' 9.5'',229.6,82.0,2011
Darius Morris,5.30%,75.25,8' 6'',190.0,79.5,2011
Chandler Parsons,7.00%,80.75,8' 8.5'',221.2,81.5,2011
Jereme Richmond,5.50%,78.0,8' 10.5'',207.2,82.25,2011
Josh Selby,7.90%,73.75,8' 2'',194.6,77.25,2011
Iman Shumpert,6.50%,76.25,8' 3.5'',221.8,81.5,2011
Kyle Singler,10.00%,79.5,8' 10'',228.0,82.1,2011
Chris Singleton,7.40%,79.75,8' 7.5'',230.2,85.0,2011
Jamie Skeen,9.80%,78.5,8' 10.5'',241.6,85.25,2011
Gregory Smith,7.40%,80.0,8' 10.5'',252.8,86.5,2011
